,image,HP,HR,Glass,EV,FV,Glared,S,L
10,C:\Users\nidhimh\Documents\Face\faces\04b.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
11,C:\Users\nidhimh\Documents\Face\faces\04c.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
12,C:\Users\nidhimh\Documents\Face\faces\04d.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
13,C:\Users\nidhimh\Documents\Face\faces\04e.jpg,Face is not vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
14,C:\Users\nidhimh\Documents\Face\faces\04f.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
15,C:\Users\nidhimh\Documents\Face\faces\04g.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
16,C:\Users\nidhimh\Documents\Face\faces\04h.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
17,C:\Users\nidhimh\Documents\Face\faces\05.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
18,C:\Users\nidhimh\Documents\Face\faces\05a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
19,C:\Users\nidhimh\Documents\Face\faces\05b.jpg,Face is horizontally and vertically centred,head is foreward or backward tilted and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
20,C:\Users\nidhimh\Documents\Face\faces\06.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
21,C:\Users\nidhimh\Documents\Face\faces\06a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
22,C:\Users\nidhimh\Documents\Face\faces\07.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
23,C:\Users\nidhimh\Documents\Face\faces\07a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
24,C:\Users\nidhimh\Documents\Face\faces\08.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
25,C:\Users\nidhimh\Documents\Face\faces\08a.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
26,C:\Users\nidhimh\Documents\Face\faces\08b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
27,C:\Users\nidhimh\Documents\Face\faces\09.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
28,C:\Users\nidhimh\Documents\Face\faces\09a.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
29,C:\Users\nidhimh\Documents\Face\faces\09b.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
30,C:\Users\nidhimh\Documents\Face\faces\10.jpg,Face is not vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
31,C:\Users\nidhimh\Documents\Face\faces\10a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
32,C:\Users\nidhimh\Documents\Face\faces\11.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
33,C:\Users\nidhimh\Documents\Face\faces\11a.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
34,C:\Users\nidhimh\Documents\Face\faces\11b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
35,C:\Users\nidhimh\Documents\Face\faces\12.jpg,Face is not horizontally centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
36,C:\Users\nidhimh\Documents\Face\faces\12a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
37,C:\Users\nidhimh\Documents\Face\faces\12b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
38,C:\Users\nidhimh\Documents\Face\faces\13.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
39,C:\Users\nidhimh\Documents\Face\faces\13a.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
40,C:\Users\nidhimh\Documents\Face\faces\13b.jpg,Face is not vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
41,C:\Users\nidhimh\Documents\Face\faces\13c.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
42,C:\Users\nidhimh\Documents\Face\faces\14.jpg,Face is horizontally and vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
43,C:\Users\nidhimh\Documents\Face\faces\14a.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
44,C:\Users\nidhimh\Documents\Face\faces\14b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
45,C:\Users\nidhimh\Documents\Face\faces\15.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
46,C:\Users\nidhimh\Documents\Face\faces\15a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
47,C:\Users\nidhimh\Documents\Face\faces\16.jpg,Face is not vertically centred,head is foreward or backward tilted and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
48,C:\Users\nidhimh\Documents\Face\faces\16a.jpg,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected
49,C:\Users\nidhimh\Documents\Face\faces\16b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
50,C:\Users\nidhimh\Documents\Face\faces\17.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
51,C:\Users\nidhimh\Documents\Face\faces\17a.jpg,Face is not vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
52,C:\Users\nidhimh\Documents\Face\faces\17b.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
53,C:\Users\nidhimh\Documents\Face\faces\18.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
54,C:\Users\nidhimh\Documents\Face\faces\18a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
55,C:\Users\nidhimh\Documents\Face\faces\19.jpg,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected
56,C:\Users\nidhimh\Documents\Face\faces\19a.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
57,C:\Users\nidhimh\Documents\Face\faces\19b.jpg,Face is not vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
58,C:\Users\nidhimh\Documents\Face\faces\20.jpg,Face is not vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
59,C:\Users\nidhimh\Documents\Face\faces\20a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
60,C:\Users\nidhimh\Documents\Face\faces\21.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
61,C:\Users\nidhimh\Documents\Face\faces\21a.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
62,C:\Users\nidhimh\Documents\Face\faces\21b.jpg,Face is not vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
63,C:\Users\nidhimh\Documents\Face\faces\21c.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
64,C:\Users\nidhimh\Documents\Face\faces\21d.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
65,C:\Users\nidhimh\Documents\Face\faces\21e.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
66,C:\Users\nidhimh\Documents\Face\faces\21f.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
67,C:\Users\nidhimh\Documents\Face\faces\21g.jpg,Face is horizontally and vertically centred,head is tilted to the side and head is foreward or backward tilted,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
68,C:\Users\nidhimh\Documents\Face\faces\21h.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
69,C:\Users\nidhimh\Documents\Face\faces\21i.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
70,C:\Users\nidhimh\Documents\Face\faces\21j.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
71,C:\Users\nidhimh\Documents\Face\faces\21k.jpg,Face is horizontally and vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
72,C:\Users\nidhimh\Documents\Face\faces\21l.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
73,C:\Users\nidhimh\Documents\Face\faces\21m.jpg,Face is not horizontally centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
74,C:\Users\nidhimh\Documents\Face\faces\22.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
75,C:\Users\nidhimh\Documents\Face\faces\22a.jpg,Face is not vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
76,C:\Users\nidhimh\Documents\Face\faces\22b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
77,C:\Users\nidhimh\Documents\Face\faces\22c.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
78,C:\Users\nidhimh\Documents\Face\faces\22d.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
79,C:\Users\nidhimh\Documents\Face\faces\23.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
80,C:\Users\nidhimh\Documents\Face\faces\23a.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
81,C:\Users\nidhimh\Documents\Face\faces\24.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
82,C:\Users\nidhimh\Documents\Face\faces\24a.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
83,C:\Users\nidhimh\Documents\Face\faces\24b.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
84,C:\Users\nidhimh\Documents\Face\faces\24c.jpg,Face is neither horizontally or vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
85,C:\Users\nidhimh\Documents\Face\faces\24d.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
86,C:\Users\nidhimh\Documents\Face\faces\25.jpg,Face is not vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
87,C:\Users\nidhimh\Documents\Face\faces\25a.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
88,C:\Users\nidhimh\Documents\Face\faces\cropped.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
89,C:\Users\nidhimh\Documents\Face\faces\image_0001.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
90,C:\Users\nidhimh\Documents\Face\faces\image_0002.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
91,C:\Users\nidhimh\Documents\Face\faces\image_0003.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is poorly lit
92,C:\Users\nidhimh\Documents\Face\faces\image_0004.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
93,C:\Users\nidhimh\Documents\Face\faces\image_0005.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
94,C:\Users\nidhimh\Documents\Face\faces\image_0006.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
95,C:\Users\nidhimh\Documents\Face\faces\image_0007.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
96,C:\Users\nidhimh\Documents\Face\faces\image_0008.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
97,C:\Users\nidhimh\Documents\Face\faces\image_0009.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
98,C:\Users\nidhimh\Documents\Face\faces\image_0010.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
99,C:\Users\nidhimh\Documents\Face\faces\image_0011.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
100,C:\Users\nidhimh\Documents\Face\faces\image_0012.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
101,C:\Users\nidhimh\Documents\Face\faces\image_0013.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
102,C:\Users\nidhimh\Documents\Face\faces\image_0014.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
103,C:\Users\nidhimh\Documents\Face\faces\image_0015.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is poorly lit
104,C:\Users\nidhimh\Documents\Face\faces\image_0016.jpg,Face is not vertically centred,"head is tilted to the side, face is turned to the side, and head is forward or backward tilted",Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is poorly lit
105,C:\Users\nidhimh\Documents\Face\faces\image_0017.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
106,C:\Users\nidhimh\Documents\Face\faces\image_0018.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
107,C:\Users\nidhimh\Documents\Face\faces\image_0019.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
108,C:\Users\nidhimh\Documents\Face\faces\image_0020.jpg,Face is not vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
109,C:\Users\nidhimh\Documents\Face\faces\image_0021.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
110,C:\Users\nidhimh\Documents\Face\faces\image_0022.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
111,C:\Users\nidhimh\Documents\Face\faces\image_0023.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
112,C:\Users\nidhimh\Documents\Face\faces\image_0024.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
113,C:\Users\nidhimh\Documents\Face\faces\image_0025.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
114,C:\Users\nidhimh\Documents\Face\faces\image_0026.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
115,C:\Users\nidhimh\Documents\Face\faces\image_0027.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
116,C:\Users\nidhimh\Documents\Face\faces\image_0028.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
117,C:\Users\nidhimh\Documents\Face\faces\image_0029.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
118,C:\Users\nidhimh\Documents\Face\faces\image_0030.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
119,C:\Users\nidhimh\Documents\Face\faces\image_0031.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
120,C:\Users\nidhimh\Documents\Face\faces\image_0032.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
121,C:\Users\nidhimh\Documents\Face\faces\image_0033.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
122,C:\Users\nidhimh\Documents\Face\faces\image_0034.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
123,C:\Users\nidhimh\Documents\Face\faces\image_0035.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
124,C:\Users\nidhimh\Documents\Face\faces\image_0036.jpg,Face is not vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
125,C:\Users\nidhimh\Documents\Face\faces\image_0037.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
126,C:\Users\nidhimh\Documents\Face\faces\image_0038.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
127,C:\Users\nidhimh\Documents\Face\faces\image_0039.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
128,C:\Users\nidhimh\Documents\Face\faces\image_0040.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
